,site,name,use,current_price,current_discount,review,opinions
56,kriim,Hyaluronic Cleanser,Limpiador con ácido hialurónico para pieles secas y mixtas,"€9,00",no_discount,unknown,unknown
57,kriim,Antioxidant Glow Mask,Mascarilla facial antioxidante e iluminadora,"€28,00",no_discount,unknown,unknown
58,kriim,Super Rich Multi - Hydratator,Crema nutritiva para piel seca,"€49,95",no_discount,unknown,unknown
59,kriim,Niacinamide Cleanser,Limpiador con niacinamida para pieles grasas,"€9,00",no_discount,unknown,unknown
60,kriim,Mini Ginger Balance Shampoo,Mini champú equilibrante de jengibre para pelos grasos,"€9,95",no_discount,unknown,unknown
61,kriim,Recover Castor Oil,Aceite de ricino nutritivo y anti-caída para cabello,"€27,50",no_discount,unknown,unknown
62,kriim,Herbal Shampoo,Champú sólido - Neutro,"€8,50",no_discount,unknown,unknown
63,kriim,Rosehip Enriched Soap,Jabón con aceite de oliva y aceite de rosa mosqueta,"€6,50",no_discount,unknown,unknown
64,kriim,Facial Konjac Sponge - Sensitive skin,Esponja facial Konjac - Piel sensible,"€6,50",no_discount,unknown,unknown
65,kriim,Vitamin C Booster,Sérum concentrado de vitamina C iluminador y antioxidante,"€30,00",no_discount,unknown,unknown
66,kriim,Intense Skin Repair Oil,Intense Skin Repair Oil,"€63,95",no_discount,unknown,unknown
67,kriim,Papaya Recovery Shampoo,Champú reparador de papaya para todo tipo de cabello,"€19,50",no_discount,unknown,unknown
